Java HotSpot(TM) Client VM (25.60-b23) for windows-x86 JRE (1.8.0_60-b27), built on Aug  4 2015 10:57:40 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 3399160k(995136k free), swap 6796604k(3629564k free)
CommandLine flags: -XX:InitialHeapSize=1048576000 -XX:MaxHeapSize=1048576000 -XX:MaxNewSize=1048576 -XX:NewSize=1048576 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
7.402: [GC (Allocation Failure) 7.402: [DefNew: 959K->64K(960K), 0.0052675 secs] 94317K->94309K(1023936K), 0.0053554 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.454: [GC (Allocation Failure) 7.454: [DefNew: 960K->63K(960K), 0.0031132 secs] 95205K->95173K(1023936K), 0.0031952 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.501: [GC (Allocation Failure) 7.501: [DefNew: 959K->63K(960K), 0.0058888 secs] 96069K->96057K(1023936K), 0.0059880 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.581: [GC (Allocation Failure) 7.581: [DefNew: 959K->63K(960K), 0.0039360 secs] 96953K->96937K(1023936K), 0.0040170 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.628: [GC (Allocation Failure) 7.628: [DefNew: 959K->64K(960K), 0.0052158 secs] 97833K->97820K(1023936K), 0.0053073 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.677: [GC (Allocation Failure) 7.677: [DefNew: 960K->63K(960K), 0.0053523 secs] 98716K->98703K(1023936K), 0.0054451 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
7.724: [GC (Allocation Failure) 7.724: [DefNew: 959K->63K(960K), 0.0060033 secs] 99599K->99589K(1023936K), 0.0061011 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.772: [GC (Allocation Failure) 7.772: [DefNew: 959K->63K(960K), 0.0057202 secs] 100485K->100474K(1023936K), 0.0058232 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.834: [GC (Allocation Failure) 7.834: [DefNew: 959K->64K(960K), 0.0060826 secs] 101370K->101358K(1023936K), 0.0061845 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.882: [GC (Allocation Failure) 7.882: [DefNew: 960K->64K(960K), 0.0064708 secs] 102254K->102239K(1023936K), 0.0065793 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.929: [GC (Allocation Failure) 7.929: [DefNew: 960K->63K(960K), 0.0060065 secs] 103135K->103107K(1023936K), 0.0061056 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.000: [GC (Allocation Failure) 8.000: [DefNew: 959K->64K(960K), 0.0058225 secs] 104003K->103987K(1023936K), 0.0059255 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.047: [GC (Allocation Failure) 8.047: [DefNew: 960K->63K(960K), 0.0064826 secs] 104883K->104869K(1023936K), 0.0065727 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.115: [GC (Allocation Failure) 8.115: [DefNew: 959K->63K(960K), 0.0031977 secs] 105765K->105732K(1023936K), 0.0032804 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
